datum,ar,manad,ar_manad,sol_kwh,snittpris_ore,naive_kr,opt_kr,besparing_kr,naive_imp_kwh,opt_imp_kwh
2023-10-29,2023,10,2023-10,1.0766666666666667,45.494625000000006,23.823780575,6.258362939004414,17.565417635995587,37.92333333333333,45.595083333000005
2023-10-30,2023,10,2023-10,13.690119047619046,77.65491666666667,29.663952644285715,-4.463032554988699,34.126985199274415,30.827380952380953,34.06917229
2023-10-31,2023,10,2023-10,2.668525641025641,71.393625,26.18399101782051,3.3113748823819975,22.872616135438513,36.36147435897436,36.364999997
2023-11-01,2023,11,2023-11,31.652499999999996,60.96304166666667,8.377864224166665,-18.754110522463,27.131974746629666,28.345000000000002,33.9775
2023-11-02,2023,11,2023-11,5.394166666666667,60.33870833333333,24.501119485833335,4.305407925674437,20.195711560158898,34.85333333333333,33.0
2023-11-03,2023,11,2023-11,10.535,25.998625000000004,7.708269158333333,1.6772669844687496,6.031002173864583,29.7675,33.93583333
2023-11-04,2023,11,2023-11,2.040833333333333,17.131249999999998,7.197777233333333,3.1254458461454995,4.072331387187834,36.95916666666666,42.13666666699999
2023-11-05,2023,11,2023-11,2.8708333333333336,36.09275,19.006672546666668,0.8892439148238989,18.11742863184277,36.91916666666667,43.62285087
2023-11-06,2023,11,2023-11,2.2624999999999997,82.189,48.402679725000006,3.1175124830477685,45.28516724195224,36.7375,45.059166677
2023-11-07,2023,11,2023-11,4.605833333333333,105.356875,49.15161976416667,9.792472680965599,39.359147083201066,35.27583333333333,46.6491666
2023-11-08,2023,11,2023-11,4.510833333333333,83.94295833333332,33.014195218333334,11.286898238082891,21.727296980250443,36.009166666666665,34.36833333
2023-11-09,2023,11,2023-11,0.8216666666666665,60.89416666666667,34.78578241666666,7.2904774647145025,27.49530495195216,38.178333333333335,44.215
2023-11-10,2023,11,2023-11,1.9361666666666664,62.461749999999995,28.95220012333333,5.783916978827291,23.16828314450604,37.3855,39.9767327
2023-11-11,2023,11,2023-11,10.689166666666665,56.802125,37.06412237666667,-6.896372095804706,43.960494472471375,32.42333333333333,35.80451753
2023-11-12,2023,11,2023-11,6.178863636363635,53.800958333333334,27.275199960303034,-3.2593857721880006,30.534585732491035,34.45530303030303,40.404820599999994
